"","ID","Name","Sex","Age","Height","Weight","Team","Year","Sport","Medal"
"6440",64900,"Sandeep Kumar","M",30,NA,NA,"India",2016,"Athletics",NA
"6441",64908,"Surender Kumar","M",22,179,77,"India",2016,"Hockey",NA
"6442",64918,"Deepika Kumari","F",22,163,61,"India",2016,"Archery",NA
"6443",64918,"Deepika Kumari","F",22,163,61,"India",2016,"Archery",NA
"6444",64923,"Dimitar Angelov Kumchev","M",36,180,125,"Bulgaria",2016,"Wrestling",NA
"6445",64957,"Semi Kunabuli Kunatani","M",25,192,98,"Fiji",2016,"Rugby Sevens","Gold"
"6446",64976,"Yi-Ping ""Candie"" Kung","F",34,168,70,"Chinese Taipei",2016,"Golf",NA
"6447",65002,"Sebastian Kuntschik","M",27,163,58,"Austria",2016,"Shooting",NA
"6448",65022,"Lenchu Kunzang","F",24,165,59,"Bhutan",2016,"Shooting",NA
"6449",65026,"Kahena Kunze","F",25,172,68,"Brazil",2016,"Sailing","Gold"
"6450",65044,"Kuo Hsing-Chun","F",22,157,58,"Chinese Taipei",2016,"Weightlifting","Bronze"
"6451",65052,"Taru Kuoppa","F",32,173,63,"Finland",2016,"Archery",NA
"6452",65070,"Martin Kupper","M",27,198,119,"Estonia",2016,"Athletics",NA
"6453",65097,"Olim Kurbanov","M",18,186,69,"Tajikistan",2016,"Swimming",NA
"6454",65098,"Ruslan Kurbanov","M",23,183,65,"Uzbekistan",2016,"Athletics",NA
"6455",65101,"Zarina Kurbanova","F",21,170,54,"Uzbekistan",2016,"Rhythmic Gymnastics",NA
"6456",65103,"Aleksey Yuryevich Kurbatov","M",22,185,74,"Russia",2016,"Cycling",NA
"6457",65106,"Soyib Kurbonov","M",28,186,100,"Uzbekistan",2016,"Judo",NA
"6458",65114,"Bartosz Kamil Kurek","M",27,205,87,"Poland",2016,"Volleyball",NA
"6459",65127,"Ayane Kurihara","F",26,172,59,"Japan",2016,"Badminton",NA
"6460",65130,"Mika Kurihara","F",27,176,68,"Japan",2016,"Basketball",NA
"6461",65138,"Maria Kurjo","F",26,158,52,"Germany",2016,"Diving",NA
"6462",65147,"Cameron Roland Kurle","M",19,186,66,"Great Britain",2016,"Swimming",NA
